idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,2,0,0,8.82,0,0,0,20
2,6,0,0,18.28,0,0,0,20
3,6,0,3,10.83,0,0,1,20
4,4,0,0,8.28,0,0,0,20
5,2,0,1,22.03,0,0,0,20
6,6,0,1,5.52,0,0,0,20
7,2,0,4,23.85,0,0,1,20
8,2,0,3,23.59,0,0,1,20
9,6,0,2,9.41,0,0,1,20
10,2,0,2,22.64,0,0,0,20
11,6,0,4,23.13,1,0,0,20
12,1,0,0,5.84,2,0,0,20
13,5,0,0,18.78,3,0,0,20
14,4,0,1,15.68,4,0,0,20
15,3,0,0,12.7,5,0,0,20
16,5,0,1,20.22,6,0,0,20
17,1,0,1,9.27,7,0,0,20
18,3,0,1,12.5,8,0,0,20
19,5,0,2,20.55,9,0,0,20
20,1,0,2,6.63,10,0,0,20
21,1,0,3,13.32,11,0,0,20
22,1,0,4,15.02,12,0,0,20
23,5,0,3,21.53,13,0,0,20
24,5,0,4,23.6,14,0,0,20
25,4,0,2,17.53,15,0,0,20
