idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,3,0,0,11.22,0,0,0,20
2,3,0,1,20.51,0,0,1,20
3,6,0,0,9.69,0,0,0,20
4,6,0,3,12.16,0,0,1,20
5,6,0,4,12.99,0,0,1,20
6,6,0,2,11.72,0,0,1,20
7,6,0,1,5.45,0,0,0,20
8,4,0,0,12.15,1,0,0,20
9,4,0,1,15.16,2,0,0,20
10,1,0,0,11.92,3,0,0,20
11,2,0,0,11.17,4,0,0,20
12,2,0,1,13.63,5,0,0,20
13,1,0,1,7.71,6,0,0,20
14,4,0,2,16.5,7,0,0,20
15,1,0,2,9.41,8,0,0,20
16,5,0,0,8.69,9,0,0,20
17,3,0,2,23.51,10,0,0,20
18,1,0,3,12.96,11,0,0,20
19,2,0,2,12.25,12,0,0,20
20,3,0,3,23.96,13,0,0,20
