idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,5,0,1,17.13,0,1,20,0,17.13
2,5,0,0,16.66,0,0,20,0,16.66
3,2,0,2,11.81,0,1,20,0,11.81
4,2,0,0,11.53,0,0,20,0,11.53
5,2,0,3,12.09,0,1,20,0,12.09
6,2,0,4,14.6,0,1,20,0,14.6
7,2,0,1,6.7,0,0,20,0,6.7
8,1,0,0,18.07,1,0,20,0,18.07
9,3,0,0,9.78,2,0,20,0,9.78
10,1,0,1,21.93,3,0,20,0,21.93
11,3,0,1,21.46,4,0,20,0,21.46
12,4,0,0,15.06,5,0,20,0,15.06
13,6,0,0,13.01,6,0,20,0,13.01
14,6,0,1,11.03,7,0,20,0,11.03
15,6,0,2,12.34,8,0,20,0,12.34
16,6,0,3,12.35,9,0,20,0,12.35
17,1,0,2,23.29,10,0,20,0,23.29
18,4,0,1,5.62,11,0,20,0,5.62
19,4,0,2,9.58,12,0,20,0,9.58
20,5,0,2,20.22,13,0,20,0,20.22
21,3,0,2,22.23,14,0,20,0,22.23
22,6,0,4,13.15,15,0,20,0,13.15
23,5,0,3,21.53,16,0,20,0,21.53
24,3,0,3,22.84,17,0,20,0,22.84
25,1,0,3,23.33,18,0,20,0,23.33
26,4,0,3,9.24,19,0,20,0,9.24
27,3,0,4,23.25,20,0,20,0,23.25
